cabg,procedure used to treat coronary heart disease,,CABG:- (procedure used to treat coronary heart disease),,,,,,,,,,,,
calcaneal,heel bone,,CALCANEAL:- (heel bone),,,,,,,,,,,,
calcific,calcium released from cells,,CALCIFIC:- (calcium released from cells),,,,,,,,,,,,
callus,bony healing tissue,,CALLUS:- (bony healing tissue),,,,,,,,,,,,
cardiomediastinal,outlines on chest X ray,,CARDIOMEDIASTINAL:- (outlines on chest X ray),,,,,,,,,,,,
cardiomegaly,heart that is bigger in size than normal,,CARDIOMEGALY:- (heart that is bigger in size than normal),,,,,,,,,,,,
cardiopulmonary,involving both heart and lungs,,CARDIOPULMONARY:- (involving both heart and lungs),,,,,,,,,,,,
cardiothoracic,surgical treatment of organs inside the thoracic cavity,,CARDIOTHORACIC:- (surgical treatment of organs inside the thoracic cavity),,,,,,,,,,,,
carina,cartialge in the trachea,,CARINA:- (cartialge in the trachea),,,,,,,,,,,,
carinatum,condition in which breast bone sticks out more than ususal,,CARINATUM:- (condition in which breast bone sticks out more than ususal),,,,,,,,,,,,
cartilage,it is a connective tissue,,CARTILAGE:- (it is a connective tissue),,,,,,,,,,,,
catheter,thin tube used broad medical uses,,CATHETER:- (thin tube used broad medical uses),,,,,,,,,,,,
caudal,a type of anasthesia,,CAUDAL:- (a type of anasthesia),,,,,,,,,,,,
cavitary,characterized by bodily cavitation,,CAVITARY:- (characterized by bodily cavitation),,,,,,,,,,,,
cavitation,formation of cavities in an organ in a disease,,CAVITATION:- (formation of cavities in an organ in a disease),,,,,,,,,,,,
centrilobular,disease occuring in the centre of the lungs,,CENTRILOBULAR:- (disease occuring in the centre of the lungs),,,,,,,,,,,,
cephalization,concentration of sense organs,,CEPHALIZATION:- (concentration of sense organs),,,,,,,,,,,,
cerclage,procedure in which a stitch is placed around your cervix,,CERCLAGE:- (procedure in which a stitch is placed around your cervix),,,,,,,,,,,,
cervical,back bone,,CERVICAL:- (back bone),,,,,,,,,,,,
cholecystectomy,surgical removal of gall bladder,,CHOLECYSTECTOMY:- (surgical removal of gall bladder),,,,,,,,,,,,
chondral,damage of cartilage between bones,,CHONDRAL:- (damage of cartilage between bones),,,,,,,,,,,,
chronic,long lasting disease,,CHRONIC:- (long lasting disease),,,,,,,,,,,,
chronicity,long duration of being chronic,,CHRONICITY:- (long duration of being chronic),,,,,,,,,,,,
circumscribed,confined to a limited area,,CIRCUMSCRIBED:- (confined to a limited area),,,,,,,,,,,,
cirrhotic,late stage liver stage,,CIRRHOTIC:- (late stage liver stage),,,,,,,,,,,,
clavicle,located between the rib cage and shoulder blade,,CLAVICLE:- (located between the rib cage and shoulder blade),,,,,,,,,,,,
coarse,visible to naked eye or compound microscope,,COARSE:- (visible to naked eye or compound microscope),,,,,,,,,,,,
colon,largest part of large intestine,,COLON:- (largest part of large intestine),,,,,,,,,,,,
confluent,coming together,,CONFLUENT:- (coming together),,,,,,,,,,,,
congenital,condition present before or after birth,,CONGENITAL:- (condition present before or after birth),,,,,,,,,,,,
congestion,abnormal amount of fluid in vessels,,CONGESTION:- (abnormal amount of fluid in vessels),,,,,,,,,,,,
contour,outline of a part,,CONTOUR:- (outline of a part),,,,,,,,,,,,
copd,lung disease causing breathing difficulties,,COPD:- (lung disease causing breathing difficulties),,,,,,,,,,,,
coracoclavicular,ligament that joins clavicle and coracoid,,CORACOCLAVICULAR:- (ligament that joins clavicle and coracoid),,,,,,,,,,,,
coracoid,hook like structure on the anterior of scapula,,CORACOID:- (hook like structure on the anterior of scapula),,,,,,,,,,,,
cortex,outermost layer of an organ,,CORTEX:- (outermost layer of an organ),,,,,,,,,,,,
cortical,outer layer of cerebrum,,CORTICAL:- (outer layer of cerebrum),,,,,,,,,,,,
corticated,having  a cortex,,CORTICATED:- (having  a cortex),,,,,,,,,,,,
costicartilage,cartialage forming continuation of rib,,COSTICARTILAGE:- (cartialage forming continuation of rib),,,,,,,,,,,,
costochondral,joints between the rib and costal cartilage,,COSTOCHONDRAL:- (joints between the rib and costal cartilage),,,,,,,,,,,,
costodiaphragmatic,a space around the ling inside the cavity,,COSTODIAPHRAGMATIC:- (a space around the ling inside the cavity),,,,,,,,,,,,
costophrenic,relating the ribs and the diaphragm,,COSTOPHRENIC:- (relating the ribs and the diaphragm),,,,,,,,,,,,
ct,scan of the abdomen,,CT:- (scan of the abdomen),,,,,,,,,,,,
cutaneous,relating to skin,,CUTANEOUS:- (relating to skin),,,,,,,,,,,,
cyst,sack like pocket containing substances,,CYST:- (sack like pocket containing substances),,,,,,,,,,,,
deviation,Doing something in a way that is considered not to be normal.,,DEVIATION:- (Doing something in a way that is considered not to be normal.),,,,,,,,,,,,
device,Something designed or adapted for any specific function,,DEVICE:- (Something designed or adapted for any specific function),,,,,,,,,,,,
dextro,"Derived from latin, meaning towards/twisting to the right",,"DEXTRO:- (Derived from latin, meaning towards/twisting to the right)",,,,,,,,,,,,
dextro-convex,An S like curvature,,DEXTRO-CONVEX:- (An S like curvature),,,,,,,,,,,,
dextrocardia,A condition in which the heart is pointed towards the right hand side,,DEXTROCARDIA:- (A condition in which the heart is pointed towards the right hand side),,,,,,,,,,,,
dextroconvex,An S like curvature,,DEXTROCONVEX:- (An S like curvature),,,,,,,,,,,,
dextrocurvature,An abnormal S-like curvature to the right,,DEXTROCURVATURE:- (An abnormal S-like curvature to the right),,,,,,,,,,,,
dextroscoliosis,An abnormal curvature of the spine,,DEXTROSCOLIOSIS:- (An abnormal curvature of the spine),,,,,,,,,,,,
dialysis,"The process of removing waste and excess fluid from the blood usually through a machine, when kindeys stop working.",,"DIALYSIS:- (The process of removing waste and excess fluid from the blood usually through a machine, when kindeys stop working.)",,,,,,,,,,,,
diameter,"a straight line passing from side to side through the centre of a body or figure, especially a circle or sphere.",,"DIAMETER:- (a straight line passing from side to side through the centre of a body or figure, especially a circle or sphere.)",,,,,,,,,,,,
diaphragm,An elastic muscle below the lungs,,DIAPHRAGM:- (An elastic muscle below the lungs),,,,,,,,,,,,
edema,swelling that is caused by fluid trapped in your body's tissues,,EDEMA:- (swelling that is caused by fluid trapped in your body's tissues),,,,,,,,,,,,
effusion,an instance of giving off something such as a liquid or gas,,EFFUSION:- (an instance of giving off something such as a liquid or gas),,,,,,,,,,,,
elbow,the joint between the forearm and the upper arm,,ELBOW:- (the joint between the forearm and the upper arm),,,,,,,,,,,,
electrodes,"a conductor through which electricity enters or leaves an object, substance",,"ELECTRODES:- (a conductor through which electricity enters or leaves an object, substance)",,,,,,,,,,,,
electronic,a device having or operating with components such as microchip and transistor that control and direct electric currents,,ELECTRONIC:- (a device having or operating with components such as microchip and transistor that control and direct electric currents),,,,,,,,,,,,
elevated,situated or placed higher than the surrounding area,,ELEVATED:- (situated or placed higher than the surrounding area),,,,,,,,,,,,
elevation,"the action or fact of raising or being raised to a higher or more important level, state or position",,"ELEVATION:- (the action or fact of raising or being raised to a higher or more important level, state or position)",,,,,,,,,,,,
elongation,the action or process of lengthening something,,ELONGATION:- (the action or process of lengthening something),,,,,,,,,,,,
embolism,"obstruction of an artery, typically by a clot of blood or an air bubble",,"EMBOLISM:- (obstruction of an artery, typically by a clot of blood or an air bubble)",,,,,,,,,,,,
embolization,the process or state in which a blood vessel or organ is obstructed by the lodgment of a material,,EMBOLIZATION:- (the process or state in which a blood vessel or organ is obstructed by the lodgment of a material),,,,,,,,,,,,
emphysema,a condition in which the air sacs of the lungs are damaged and enlarged causing breathlessness,,EMPHYSEMA:- (a condition in which the air sacs of the lungs are damaged and enlarged causing breathlessness),,,,,,,,,,,,
empyema,"the collection of a pus in a cavity in the body, especially in the pleural cavity",,"EMPYEMA:- (the collection of a pus in a cavity in the body, especially in the pleural cavity)",,,,,,,,,,,,
enchondroma,a tumor consisting of cartilaginous tissue especially one arising where cartilage does not normally exist,,ENCHONDROMA:- (a tumor consisting of cartilaginous tissue especially one arising where cartilage does not normally exist),,,,,,,,,,,,
end,"a final part of something, especially a period of time, or a story",,"END:- (a final part of something, especially a period of time, or a story)",,,,,,,,,,,,
endotracheal,placed within the trachea,,ENDOTRACHEAL:- (placed within the trachea),,,,,,,,,,,,
endplate,a complex terminal treelike branching of the axon of a motor neuron that contacts with a muscle fiber,,ENDPLATE:- (a complex terminal treelike branching of the axon of a motor neuron that contacts with a muscle fiber),,,,,,,,,,,,
engorged,"cause to swell with blood, water, or another fluid",,"ENGORGED:- (cause to swell with blood, water, or another fluid)",,,,,,,,,,,,
engorgement,to fill with blood to the point of congestion,,ENGORGEMENT:- (to fill with blood to the point of congestion),,,,,,,,,,,,
enlarged,having become or been made larger,,ENLARGED:- (having become or been made larger),,,,,,,,,,,,
enlargement,the action or state of enlarging or being enlarged,,ENLARGEMENT:- (the action or state of enlarging or being enlarged),,,,,,,,,,,,
enteric,relating to or occuring in the intestines,,ENTERIC:- (relating to or occuring in the intestines),,,,,,,,,,,,
enthesophyte,abnormal bony projections at the attachment of a tendon or ligament,,ENTHESOPHYTE:- (abnormal bony projections at the attachment of a tendon or ligament),,,,,,,,,,,,
entire,with no part left out,,ENTIRE:- (with no part left out),,,,,,,,,,,,
epicardial,the inner layer of the pericardium that is in actual contact with the surface of the heart,,EPICARDIAL:- (the inner layer of the pericardium that is in actual contact with the surface of the heart),,,,,,,,,,,,
epigastric,lying upon or over the stomach,,EPIGASTRIC:- (lying upon or over the stomach),,,,,,,,,,,,
epigastrium,the part of the upper abdomen immediately over the stomach,,EPIGASTRIUM:- (the part of the upper abdomen immediately over the stomach),,,,,,,,,,,,
epiglottis,"a flap of cartilage behind the root of the tongue, which is depressed during swallowing to cover the opening of the windpipe",,"EPIGLOTTIS:- (a flap of cartilage behind the root of the tongue, which is depressed during swallowing to cover the opening of the windpipe)",,,,,,,,,,,,
erosions,"the process of eroding or being eroded by wind, water, or other natural agents",,"EROSIONS:- (the process of eroding or being eroded by wind, water, or other natural agents)",,,,,,,,,,,,
esophagus,the part of the alimentary canal which connects the throat to the stomach,,ESOPHAGUS:- (the part of the alimentary canal which connects the throat to the stomach),,,,,,,,,,,,
especially,used to single out one person or thing over all others,,ESPECIALLY:- (used to single out one person or thing over all others),,,,,,,,,,,,
essentially,"used to emphasize the basic, fundamental, or intrinsic nature of a person or thing",,"ESSENTIALLY:- (used to emphasize the basic, fundamental, or intrinsic nature of a person or thing)",,,,,,,,,,,,
etiology,"the cause, set of causes, or manner of causation of a disease or condition",,"ETIOLOGY:- (the cause, set of causes, or manner of causation of a disease or condition)",,,,,,,,,,,,
exchanged,give something and recieve something of the same kind in return,,EXCHANGED:- (give something and recieve something of the same kind in return),,,,,,,,,,,,
exclude,"deny someone access to a place, group",,"EXCLUDE:- (deny someone access to a place, group)",,,,,,,,,,,,
exclusion,the process of excluding or the state of being excluded,,EXCLUSION:- (the process of excluding or the state of being excluded),,,,,,,,,,,,
features,large artery in the thigh,,FEATURES:- (large artery in the thigh),,,,,,,,,,,,
feeding,the bone of the thigh,,FEEDING:- (the bone of the thigh),,,,,,,,,,,,
femur,almost circular tissue which is not transparent,,FEMUR:- (almost circular tissue which is not transparent),,,,,,,,,,,,
few,tissue healing,,FEW:- (tissue healing),,,,,,,,,,,,
fibronodular,development of fibrotic connective tissue,,FIBRONODULAR:- (development of fibrotic connective tissue),,,,,,,,,,,,
findings,natural division in any organ,,FINDINGS:- (natural division in any organ),,,,,,,,,,,,
first,small tear in the thin tissue,,FIRST:- (small tear in the thin tissue),,,,,,,,,,,,
flattened,a fold in any tubular organ ,,FLATTENED:- (a fold in any tubular organ ),,,,,,,,,,,,
flowing,showing X rays continously on a monitor,,FLOWING:- (showing X rays continously on a monitor),,,,,,,,,,,,
focal,focused point of radiation,,FOCAL:- (focused point of radiation),,,,,,,,,,,,
formations,a hollow area,,FORMATIONS:- (a hollow area),,,,,,,,,,,,
fullness,related to a fungus,,FULLNESS:- (related to a fungus),,,,,,,,,,,,
further,hardened deposits in gall bladder,,FURTHER:- (hardened deposits in gall bladder),,,,,,,,,,,,
gallstones,referring to the stomach and esophagus,,GALLSTONES:- (referring to the stomach and esophagus),,,,,,,,,,,,
gastric,a surgical procedure used to insert a tube,,GASTRIC:- (a surgical procedure used to insert a tube),,,,,,,,,,,,
geographic,shoulder joint,,GEOGRAPHIC:- (shoulder joint),,,,,,,,,,,,
given,the top of the upper arm bone,,GIVEN:- (the top of the upper arm bone),,,,,,,,,,,,
glenoid,condition in which thyroid gland grows larger,,GLENOID:- (condition in which thyroid gland grows larger),,,,,,,,,,,,
globular,piece of transplanted living tissue,,GLOBULAR:- (piece of transplanted living tissue),,,,,,,,,,,,
graft,small area of inflammation,,GRAFT:- (small area of inflammation),,,,,,,,,,,,
grossly,a physique of a body,,GROSSLY:- (a physique of a body),,,,,,,,,,,,
heavily,collection of blood outside blood vessels,,HEAVILY:- (collection of blood outside blood vessels),,,,,,,,,,,,
helpful,half of the abdomen,,HELPFUL:- (half of the abdomen),,,,,,,,,,,,
hematoma,half of the diaphragm,,HEMATOMA:- (half of the diaphragm),,,,,,,,,,,,
hemiabdomen,two of the diaphragms seperating chest and abdomen,,HEMIABDOMEN:- (two of the diaphragms seperating chest and abdomen),,,,,,,,,,,,
hemidiaphragm,Half of the thorax,,HEMIDIAPHRAGM:- (Half of the thorax),,,,,,,,,,,,
hemidiaphragms,process of cleaning blood through dialysis machine,,HEMIDIAPHRAGMS:- (process of cleaning blood through dialysis machine),,,,,,,,,,,,
hemithorax,bleeding from a ruptured blood vessel,,HEMITHORAX:- (bleeding from a ruptured blood vessel),,,,,,,,,,,,
hemodialysis,blood between chest wall and lungs,,HEMODIALYSIS:- (blood between chest wall and lungs),,,,,,,,,,,,
hemorrhage,when an organ pushes through an opening in the muscle,,HEMORRHAGE:- (when an organ pushes through an opening in the muscle),,,,,,,,,,,,
hemothorax,type of hernia,,HEMOTHORAX:- (type of hernia),,,,,,,,,,,,
hiatus,passage of a duct into a organ,,HIATUS:- (passage of a duct into a organ),,,,,,,,,,,,
high,space where blood vessels and neeves enter an organ,,HIGH:- (space where blood vessels and neeves enter an organ),,,,,,,,,,,,
hilar,back part of the human foot,,HILAR:- (back part of the human foot),,,,,,,,,,,,
hip,infection caused by a fungus call histoplasma,,HIP:- (infection caused by a fungus call histoplasma),,,,,,,,,,,,
hours,related to the humerus,,HOURS:- (related to the humerus),,,,,,,,,,,,
however,bone between shoulder and elbow,,HOWEVER:- (bone between shoulder and elbow),,,,,,,,,,,,
humerus,presence of air and fluid In the lungs,,HUMERUS:- (presence of air and fluid In the lungs),,,,,,,,,,,,
hyper,extremely dense,,HYPER:- (extremely dense),,,,,,,,,,,,
hyperaerated,extremely expanded,,HYPERAERATED:- (extremely expanded),,,,,,,,,,,,
hyperdense,extreme expansion,,HYPERDENSE:- (extreme expansion),,,,,,,,,,,,
hyperexpanded,extremely inflated,,HYPEREXPANDED:- (extremely inflated),,,,,,,,,,,,
hyperexpansion,extreme inflation,,HYPEREXPANSION:- (extreme inflation),,,,,,,,,,,,
hyperinflated,etremely lucent,,HYPERINFLATED:- (etremely lucent),,,,,,,,,,,,
hyperinflation,extreme lucency,,HYPERINFLATION:- (extreme lucency),,,,,,,,,,,,
hyperlucency,excessive growth of bone,,HYPERLUCENCY:- (excessive growth of bone),,,,,,,,,,,,
hyperlucent,extreme tension,,HYPERLUCENT:- (extreme tension),,,,,,,,,,,,
hyperostosis,increse in size of cells,,HYPEROSTOSIS:- (increse in size of cells),,,,,,,,,,,,
hypertension,less dense,,HYPERTENSION:- (less dense),,,,,,,,,,,,
hypertrophy,less inflated,,HYPERTROPHY:- (less inflated),,,,,,,,,,,,
hypodense,less inflated,,HYPODENSE:- (less inflated),,,,,,,,,,,,
hypoinflated,less ventilated,,HYPOINFLATED:- (less ventilated),,,,,,,,,,,,
hypoinflation,less ventilation,,HYPOINFLATION:- (less ventilation),,,,,,,,,,,,
hypoventilated,less ventilation,,HYPOVENTILATED:- (less ventilation),,,,,,,,,,,,
hypoventilation,less ventilation,,HYPOVENTILATION:- (less ventilation),,,,,,,,,,,,
hypoventilatory,less ventilation,,HYPOVENTILATORY:- (less ventilation),,,,,,,,,,,,
icd,small device connected to heart,,ICD:- (small device connected to heart),,,,,,,,,,,,
idiopathic,occurred of unknown cause,,IDIOPATHIC:- (occurred of unknown cause),,,,,,,,,,,,
ij,internal jugular vein,,IJ:- (internal jugular vein),,,,,,,,,,,,
iliac,type of bone located near the ilium,,ILIAC:- (type of bone located near the ilium),,,,,,,,,,,,
infarct,tissue death,,INFARCT:- (tissue death),,,,,,,,,,,,
infection,growth of germs in the body,,INFECTION:- (growth of germs in the body),,,,,,,,,,,,
inflammatory,"redness, swelling or pain",,"INFLAMMATORY:- (redness, swelling or pain)",,,,,,,,,,,,
inlet,means of entrance,,INLET:- (means of entrance),,,,,,,,,,,,
innominate,a short artery arising from the aorta,,INNOMINATE:- (a short artery arising from the aorta),,,,,,,,,,,,
innumerable,too many to be counted,,INNUMERABLE:- (too many to be counted),,,,,,,,,,,,
interim,temporary,,INTERIM:- (temporary),,,,,,,,,,,,
interlobar,situated between the lobes of an organ or structure,,INTERLOBAR:- (situated between the lobes of an organ or structure),,,,,,,,,,,,
interposition,the surgical placement of one body structure,,INTERPOSITION:- (the surgical placement of one body structure),,,,,,,,,,,,
interstitium,substance of a tissue or an organ,,INTERSTITIUM:- (substance of a tissue or an organ),,,,,,,,,,,,
interval,space between two parts,,INTERVAL:- (space between two parts),,,,,,,,,,,,
intervertebral,situated between the spinal chord,,INTERVERTEBRAL:- (situated between the spinal chord),,,,,,,,,,,,
intramedullary,situated within the medula,,INTRAMEDULLARY:- (situated within the medula),,,,,,,,,,,,
intraperitoneal,area that contains abdominal organs,,INTRAPERITONEAL:- (area that contains abdominal organs),,,,,,,,,,,,
intrathecal,found in the space under the membrande of the brain,,INTRATHECAL:- (found in the space under the membrande of the brain),,,,,,,,,,,,
intravenous,a way of giving a drug through a needle into a vein,,INTRAVENOUS:- (a way of giving a drug through a needle into a vein),,,,,,,,,,,,
iv,a way of giving a drug through a needle into a vein,,IV:- (a way of giving a drug through a needle into a vein),,,,,,,,,,,,
ivc,vein that brings blood to the heart ,,IVC:- (vein that brings blood to the heart ),,,,,,,,,,,,
jugular,the vein in front of either side of the neck,,JUGULAR:- (the vein in front of either side of the neck),,,,,,,,,,,,
kub,type of scan used to asses Kidney Ureter and Bladder,,KUB:- (type of scan used to asses Kidney Ureter and Bladder),,,,,,,,,,,,
kyphosis,curvature of spinal chord on an X ray,,KYPHOSIS:- (curvature of spinal chord on an X ray),,,,,,,,,,,,
laryngeal,"The area of the throat containing the vocal cords and used for breathing, swallowing, and talking. ",,"LARYNGEAL:- (The area of the throat containing the vocal cords and used for breathing, swallowing, and talking. )",,,,,,,,,,,,
levocurvature,an abnormal sideways curvature of the spine that goes to the left,,LEVOCURVATURE:- (an abnormal sideways curvature of the spine that goes to the left),,,,,,,,,,,,
levoscoliosis,a spinal curve that occurs when the spine inclines more on the left side in a 'C' shape.,,LEVOSCOLIOSIS:- (a spinal curve that occurs when the spine inclines more on the left side in a 'C' shape.),,,,,,,,,,,,
ligamentous,of or relating to a ligament ligamentous,,LIGAMENTOUS:- (of or relating to a ligament ligamentous),,,,,,,,,,,,
limbus,the marginal region of the cornea of the eye by which it is continuous with the sclera.,,LIMBUS:- (the marginal region of the cornea of the eye by which it is continuous with the sclera.),,,,,,,,,,,,
lingula,a tongue-shaped process or part,,LINGULA:- (a tongue-shaped process or part),,,,,,,,,,,,
lobar,having to do with a lobe,,LOBAR:- (having to do with a lobe),,,,,,,,,,,,
lobe,a curved or rounded projection or division,,LOBE:- (a curved or rounded projection or division),,,,,,,,,,,,
lobectomy,"surgical removal of a lobe of an organ such as the thyroid gland, lung, liver, or brain",,"LOBECTOMY:- (surgical removal of a lobe of an organ such as the thyroid gland, lung, liver, or brain)",,,,,,,,,,,,
lordosis,an increased inward curving of the lumbar spine,,LORDOSIS:- (an increased inward curving of the lumbar spine),,,,,,,,,,,,
lordotic,when the spine curves too far inward,,LORDOTIC:- (when the spine curves too far inward),,,,,,,,,,,,
lucencies,"A pale area revealed in radiography, computed tomography, or similar examination technique.",,"LUCENCIES:- (A pale area revealed in radiography, computed tomography, or similar examination technique.)",,,,,,,,,,,,
lucent,glowing or giving off light,,LUCENT:- (glowing or giving off light),,,,,,,,,,,,
lumbar,relating to the lower part of the back.,,LUMBAR:- (relating to the lower part of the back.),,,,,,,,,,,,
lumbosacral,or relating to or near the small of the back and the back part of the pelvis between the hips,,LUMBOSACRAL:- (or relating to or near the small of the back and the back part of the pelvis between the hips),,,,,,,,,,,,
